algorithm_name,scenario,env_n,states_n,actions_count,actions_cost,native_cost,time,solution_found
A*,UNIFORM,10,1606,86,419,86,0.0029033989999334153,True
A*,UNIFORM,11,3046,125,539,125,0.005499201000020548,True
A*,UNIFORM,12,480,79,187,79,0.0008492110000588582,True
A*,UNIFORM,13,768,60,384,60,0.001335038999968674,True
A*,UNIFORM,14,1262,75,435,75,0.0022656819996882405,True
A*,UNIFORM,15,133,24,132,24,0.00023506800016548368,True
A*,UNIFORM,16,66,34,331,34,0.0001344539996352978,True
A*,UNIFORM,17,186,34,106,34,0.00031999900011214777,True
A*,UNIFORM,18,73,25,52,25,0.0001352560002487735,True
A*,UNIFORM,19,192,35,89,35,0.0003614170000219019,True
A*,UNIFORM,20,47,39,48,39,0.00010067799985336023,True
A*,UNIFORM,21,41,21,30,21,8.411499993599136e-05,True
A*,UNIFORM,22,457,52,169,52,0.0007926590001261502,True
A*,UNIFORM,23,130,57,93,57,0.00024461000020892243,True
A*,UNIFORM,24,5180,155,947,155,0.009645215999626089,True
A*,UNIFORM,25,394,56,128,56,0.0006926340001882636,True
A*,UNIFORM,26,1465,82,514,82,0.002685477000341052,True
A*,UNIFORM,27,273,33,213,33,0.0004895040001429152,True
A*,UNIFORM,28,3476,132,573,132,0.006447411999943142,True
A*,UNIFORM,29,1780,111,840,111,0.00317013699987001,True
A*,UNIFORM,30,24,14,32,14,4.969200017512776e-05,True
SUMMARY_MEAN,UNIFORM,,862.4666666666667,58.166666666666664,281.96666666666664,58.166666666666664,0.0015675404666732598,
SUMMARY_STD,UNIFORM,,1207.3254665674133,38.74109216609958,263.95763338502303,38.74109216609958,0.0022292137606785925,
BFS,UNIFORM,1,1620,37,172,37,0.0015954170003169565,True
BFS,UNIFORM,2,5501,76,166,76,0.005391746000441344,True
BFS,UNIFORM,3,511,17,62,17,0.0004951669998263242,True
BFS,UNIFORM,4,6291,71,314,71,0.006381909000083397,True
BFS,UNIFORM,5,187,10,28,10,0.0001822160002120654,True
BFS,UNIFORM,6,996,24,150,24,0.000939068000207044,True
BFS,UNIFORM,7,8423,125,971,125,0.008268031000170595,True
BFS,UNIFORM,8,2235,36,234,36,0.002178521999667282,True
BFS,UNIFORM,9,669,20,101,20,0.0006422369997380883,True
BFS,UNIFORM,10,6557,86,419,86,0.006431289999909495,True
BFS,UNIFORM,11,8715,125,539,125,0.008472483999867109,True
BFS,UNIFORM,12,5144,79,187,79,0.004993124000066018,True
BFS,UNIFORM,13,6091,60,384,60,0.0060397019997253665,True
BFS,UNIFORM,14,7958,75,435,75,0.007832927999970707,True
BFS,UNIFORM,15,967,24,132,24,0.0008954459999586106,True
BFS,UNIFORM,16,1760,34,331,34,0.0017306669997196877,True
BFS,UNIFORM,17,2078,34,106,34,0.0020332949998191907,True
BFS,UNIFORM,18,1144,25,52,25,0.0010910320002039953,True
BFS,UNIFORM,19,1959,35,89,35,0.0019092719999207475,True
BFS,UNIFORM,20,1498,39,48,39,0.001478536000377062,True
BFS,UNIFORM,21,745,21,30,21,0.0007046389996503422,True
BFS,UNIFORM,22,3811,52,169,52,0.003740120000202296,True
BFS,UNIFORM,23,4454,57,93,57,0.004315172000133316,True
BFS,UNIFORM,24,8914,155,947,155,0.008727464000003238,True
BFS,UNIFORM,25,3861,56,128,56,0.003788311000334943,True
BFS,UNIFORM,26,7016,82,514,82,0.006937612999990961,True
BFS,UNIFORM,27,1334,33,213,33,0.0013394229999903473,True
BFS,UNIFORM,28,8323,132,573,132,0.0081845190002241,True
BFS,UNIFORM,29,6766,111,840,111,0.00665093399993566,True
BFS,UNIFORM,30,202,14,32,14,0.00018946299996969174,True
SUMMARY_MEAN,UNIFORM,,3857.6666666666665,58.166666666666664,281.96666666666664,58.166666666666664,0.003785324900021199,
SUMMARY_STD,UNIFORM,,2947.5914951400955,38.74109216609958,263.95763338502303,38.74109216609958,0.002903058409231764,
DFS,UNIFORM,1,2074,661,1444,661,0.0024063840000962955,True
DFS,UNIFORM,2,7506,984,2010,984,0.008273591000033775,True
DFS,UNIFORM,3,200000,0,0,0,0.21572111599971322,False
DFS,UNIFORM,4,87806,999,2052,999,0.09521369399999458,True
DFS,UNIFORM,5,225,222,366,222,0.0002869920003831794,True
DFS,UNIFORM,6,200000,0,0,0,0.21387979000019186,False
DFS,UNIFORM,7,77880,999,2421,999,0.08535206199985623,True
DFS,UNIFORM,8,200000,0,0,0,0.21396949399968435,False
DFS,UNIFORM,9,581,534,1191,534,0.0007701529998485057,True
DFS,UNIFORM,10,200000,0,0,0,0.2149713110002267,False
DFS,UNIFORM,11,8702,999,1935,999,0.009527273999992758,True
DFS,UNIFORM,12,37101,999,2151,999,0.04098041099996408,True
DFS,UNIFORM,13,39646,682,1258,682,0.047997955000028014,True
DFS,UNIFORM,14,2570,999,2205,999,0.003082529000039358,True
DFS,UNIFORM,15,200000,0,0,0,0.21561674200029302,False
DFS,UNIFORM,16,200000,0,0,0,0.215272430999903,False
DFS,UNIFORM,17,200000,0,0,0,0.21526184100002865,False
DFS,UNIFORM,18,200000,0,0,0,0.2117628490000243,False
DFS,UNIFORM,19,200000,0,0,0,0.21699342100009744,False
DFS,UNIFORM,20,200000,0,0,0,0.2213627319997613,False
DFS,UNIFORM,21,200000,0,0,0,0.21872273899998618,False
DFS,UNIFORM,22,101,100,217,100,0.00014216700037650298,True
DFS,UNIFORM,23,9322,775,1603,775,0.010347722000005888,True
DFS,UNIFORM,24,93940,999,2331,999,0.1034723140001006,True
DFS,UNIFORM,25,200000,0,0,0,0.22483472200019605,False
DFS,UNIFORM,26,1201,942,1878,942,0.0015584210000270105,True
DFS,UNIFORM,27,200000,0,0,0,0.22127279699998326,False
DFS,UNIFORM,28,125961,944,1763,944,0.13737861800018436,True
DFS,UNIFORM,29,41232,999,2430,999,0.04643648299997949,True
DFS,UNIFORM,30,97,96,168,96,0.000132997000036994,True
SUMMARY_MEAN,UNIFORM,,31526.176470588234,760.7647058823529,1613.1176470588234,760.7647058823529,0.034903515705938096,
SUMMARY_STD,UNIFORM,,39444.58282829557,320.8553878787075,725.4671421880274,320.8553878787075,0.04314405459052104,
DLS(50),UNIFORM,1,1078,49,256,49,0.0009602549998817267,True
DLS(50),UNIFORM,2,27790,0,0,0,0.026909504000286688,False
DLS(50),UNIFORM,3,3135,49,184,49,0.0028312819999882777,True
